Elements,Time,Distribution
2300,336,ASHAPE
2300,343,VSHAPE
2400,339,UNIFORM
2400,182,CONSTANT
2400,8737,ASCENDING
2400,8364,DESCENDING
2400,345,ASHAPE
2400,416,VSHAPE
2500,369,UNIFORM
2500,145,CONSTANT
2500,11855,ASCENDING
2500,9146,DESCENDING
2500,361,ASHAPE
2500,365,VSHAPE
2600,351,UNIFORM
2600,146,CONSTANT
2600,10144,ASCENDING
2600,9837,DESCENDING
2600,391,ASHAPE
2600,412,VSHAPE
2700,384,UNIFORM
2700,151,CONSTANT
2700,10489,ASCENDING
2700,10470,DESCENDING
2700,407,ASHAPE
2700,404,VSHAPE
2800,435,UNIFORM
2800,172,CONSTANT
2800,11645,ASCENDING
2800,11535,DESCENDING
2800,418,ASHAPE
2800,466,VSHAPE
2900,414,UNIFORM
2900,162,CONSTANT
2900,12115,ASCENDING
2900,12603,DESCENDING
2900,426,ASHAPE
2900,428,VSHAPE
3000,460,UNIFORM
3000,166,CONSTANT
3000,13031,ASCENDING
3000,12949,DESCENDING
3000,437,ASHAPE
3000,454,VSHAPE
3100,447,UNIFORM
3100,172,CONSTANT
3100,14272,ASCENDING
3100,13970,DESCENDING
3100,458,ASHAPE
3100,471,VSHAPE
3200,477,UNIFORM
3200,175,CONSTANT
3200,14723,ASCENDING
3200,15337,DESCENDING
3200,472,ASHAPE
3200,481,VSHAPE
3300,473,UNIFORM
3300,226,CONSTANT
3300,15797,ASCENDING
3300,15729,DESCENDING
3300,488,ASHAPE
3300,496,VSHAPE
3400,513,UNIFORM
3400,191,CONSTANT
3400,16757,ASCENDING
3400,16695,DESCENDING
3400,513,ASHAPE
3400,510,VSHAPE
3500,493,UNIFORM
3500,202,CONSTANT
3500,17996,ASCENDING
3500,17820,DESCENDING
3500,591,ASHAPE
3500,568,VSHAPE
3600,543,UNIFORM
3600,204,CONSTANT
3600,22524,ASCENDING
3600,18804,DESCENDING
3600,544,ASHAPE
3600,554,VSHAPE
3700,521,UNIFORM
3700,213,CONSTANT
3700,22426,ASCENDING
3700,19668,DESCENDING
3700,550,ASHAPE
3700,619,VSHAPE
3800,537,UNIFORM
