Elements,Time,Distribution
3300,127,ASHAPE
3300,168,VSHAPE
3400,144,UNIFORM
3400,74,CONSTANT
3400,134,ASCENDING
3400,112,DESCENDING
3400,126,ASHAPE
3400,141,VSHAPE
3500,147,UNIFORM
3500,78,CONSTANT
3500,136,ASCENDING
3500,113,DESCENDING
3500,128,ASHAPE
3500,122,VSHAPE
3600,137,UNIFORM
3600,66,CONSTANT
3600,241,ASCENDING
3600,130,DESCENDING
3600,134,ASHAPE
3600,129,VSHAPE
3700,143,UNIFORM
3700,84,CONSTANT
3700,152,ASCENDING
3700,115,DESCENDING
3700,134,ASHAPE
3700,144,VSHAPE
3800,162,UNIFORM
3800,85,CONSTANT
3800,158,ASCENDING
3800,118,DESCENDING
3800,136,ASHAPE
3800,131,VSHAPE
3900,152,UNIFORM
3900,89,CONSTANT
3900,147,ASCENDING
3900,122,DESCENDING
3900,140,ASHAPE
3900,135,VSHAPE
4000,155,UNIFORM
4000,79,CONSTANT
4000,152,ASCENDING
4000,123,DESCENDING
4000,144,ASHAPE
4000,137,VSHAPE
4100,191,UNIFORM
4100,79,CONSTANT
4100,154,ASCENDING
4100,128,DESCENDING
4100,148,ASHAPE
4100,143,VSHAPE
4200,162,UNIFORM
4200,87,CONSTANT
4200,179,ASCENDING
4200,136,DESCENDING
4200,156,ASHAPE
4200,146,VSHAPE
4300,240,UNIFORM
4300,99,CONSTANT
4300,178,ASCENDING
4300,147,DESCENDING
4300,169,ASHAPE
4300,161,VSHAPE
4400,170,UNIFORM
4400,88,CONSTANT
4400,166,ASCENDING
4400,155,DESCENDING
4400,159,ASHAPE
4400,168,VSHAPE
4500,174,UNIFORM
4500,92,CONSTANT
4500,181,ASCENDING
4500,160,DESCENDING
4500,162,ASHAPE
4500,158,VSHAPE
4600,178,UNIFORM
4600,87,CONSTANT
4600,172,ASCENDING
4600,142,DESCENDING
4600,160,ASHAPE
4600,153,VSHAPE
4700,181,UNIFORM
4700,90,CONSTANT
4700,195,ASCENDING
4700,144,DESCENDING
4700,164,ASHAPE
4700,159,VSHAPE
4800,186,UNIFORM
4800,97,CONSTANT
4800,183,ASCENDING
4800,153,DESCENDING
4800,174,ASHAPE
4800,183,VSHAPE
4900,187,UNIFORM
4900,95,CONSTANT
4900,184,ASCENDING
4900,153,DESCENDING
4900,175,ASHAPE
4900,167,VSHAPE
5000,501,UNIFORM
5000,210,CONSTANT
5000,444,ASCENDING
5000,363,DESCENDING
5000,421,ASHAPE
5000,400,VSHAPE
5100,196,UNIFORM
5100,96,CONSTANT
5100,191,ASCENDING
5100,155,DESCENDING
5100,178,ASHAPE
5100,170,VSHAPE
5200,278,UNIFORM
5200,104,CONSTANT
5200,260,ASCENDING
5200,168,DESCENDING
5200,194,ASHAPE
5200,187,VSHAPE
5300,204,UNIFORM
5300,99,CONSTANT
5300,255,ASCENDING
5300,160,DESCENDING
5300,185,ASHAPE
5300,177,VSHAPE
5400,209,UNIFORM
5400,103,CONSTANT
5400,201,ASCENDING
5400,167,DESCENDING
5400,190,ASHAPE
5400,181,VSHAPE
5500,260,UNIFORM
5500,107,CONSTANT
5500,237,ASCENDING
5500,172,DESCENDING
5500,196,ASHAPE
5500,188,VSHAPE
5600,217,UNIFORM
5600,108,CONSTANT
5600,225,ASCENDING
5600,168,DESCENDING
5600,197,ASHAPE
5600,188,VSHAPE
5700,220,UNIFORM
5700,101,CONSTANT
5700,209,ASCENDING
5700,182,DESCENDING
5700,212,ASHAPE
5700,201,VSHAPE
5800,224,UNIFORM
5800,108,CONSTANT
5800,212,ASCENDING
5800,176,DESCENDING
5800,201,ASHAPE
5800,191,VSHAPE
5900,228,UNIFORM
